Wall time,Step,Value
1726531266.5162585,0,246.28297424316406
1726531274.6524787,1,358.8726806640625
1726531283.546404,2,290.453369140625
1726531292.1354342,3,273.59442138671875
1726531300.4938958,4,290.3860778808594
1726531308.8828578,5,316.5635986328125
1726531317.3549056,6,311.04345703125
1726531325.5607784,7,355.4229431152344
1726531333.8596203,8,369.46197509765625
1726531342.2334528,9,466.9692077636719
1726531350.5924945,10,417.4124755859375
1726531359.0395112,11,404.6801452636719
1726531367.3297312,12,551.2364501953125
1726531375.471126,13,609.2442626953125
1726531383.728468,14,599.417724609375
1726531391.9342904,15,526.807373046875
1726531400.1236544,16,742.768798828125
1726531408.262976,17,753.7659912109375
1726531416.6570308,18,615.23828125
1726531424.7565606,19,674.968994140625
1726531432.8801622,20,808.1853637695312
1726531441.1763997,21,632.3565063476562
1726531449.3887997,22,653.2197875976562
1726531457.5458522,23,839.065185546875
1726531465.8157935,24,883.2981567382812
1726531474.031278,25,873.6619262695312
1726531482.3726442,26,957.9247436523438
1726531490.6636739,27,1191.3248291015625
1726531498.8921752,28,1264.4483642578125
1726531507.1870718,29,1166.2808837890625
1726531515.5634189,30,1176.5328369140625
1726531523.932939,31,1216.6204833984375
1726531532.3744147,32,1201.7489013671875
1726531540.7306075,33,1246.768798828125
1726531549.2726183,34,1267.6429443359375
1726531557.657369,35,1439.3851318359375
1726531566.2567594,36,1436.4190673828125
1726531574.8533518,37,1190.9715576171875
1726531583.4603987,38,1688.966064453125
1726531592.0238218,39,1259.4581298828125
